Model,Accuracy_mean,Accuracy_std,F1_Score_mean,F1_Score_std,Recall_mean,Recall_std
LogisticRegression,0.6465811965811966,0.011593726466880798,0.6378087324930201,0.013490231970438214,0.6465811965811966,0.011593726466880798
SVC,0.6623931623931624,0.011546372723167766,0.6473148020211505,0.01253383629746507,0.6623931623931624,0.011546372723167766
DecisionTree,0.5688034188034188,0.014327397106188237,0.5658757275795527,0.013273474020152923,0.5688034188034188,0.014327397106188237
RandomForest,0.6393162393162393,0.011656565552979373,0.6219407431789157,0.013528404531143186,0.6393162393162393,0.011656565552979373
XGBoost,0.6401709401709401,0.014340138235523514,0.6290233783679506,0.016288875866252384,0.6401709401709401,0.014340138235523514
